tier,topic_id,paper_count,macro_id,top5_kw,tier_label
T1_fine,33,232,12,"legal, law, court, legal reasoning, judicial",2023-2026
T1_fine,34,226,3,"document, ocr, handwritten, text, documents",2023-2026
T1_fine,35,224,12,"gui, web, agents, gui agents, mobile",2023-2026
T1_fine,36,222,0,"sentiment, sentiment analysis, absa, analysis, opinion",2023-2026
T1_fine,37,217,3,"deepfake, forgery, deepfake detection, detection, deepfakes",2023-2026
T1_fine,38,217,7,"anomaly, anomaly detection, anomalies, detection, normal",2023-2026
T1_fine,39,216,3,"video, videos, temporal, video understanding, retrieval",2023-2026
T1_fine,40,214,12,"knowledge, knowledge graphs, knowledge graph, graphs, graph",2023-2026
T1_fine,41,213,12,"consciousness, intelligence, ai, agi, artificial",2023-2026
T1_fine,42,213,12,"reasoning, reasoning models, cot, lrms, chainofthought",2023-2026
T1_fine,43,212,12,"ai, governance, ai systems, safety, risks",2023-2026
T1_fine,44,210,0,"attention, sparse attention, sequence, linear attention, linear",2023-2026
T1_fine,45,208,0,"financial, market, stock, sentiment, finance",2023-2026
T1_fine,46,206,0,"vqa, multimodal, visual question, question, visual",2023-2026
T1_fine,47,201,0,"dialogue, dialogues, persona, dialogue systems, conversational",2023-2026
T1_fine,48,200,12,"preference, preferences, dpo, preference optimization, reward",2023-2026
T1_fine,49,198,12,"knowledge graph, knowledge, knowledge graphs, graph, graph completion",2023-2026
T1_fine,50,197,12,"game, games, strategic, agents, negotiation",2023-2026
T1_fine,51,196,3,"infrared, fusion, uav, thermal, aerial",2023-2026
T1_fine,52,191,8,"species, plant, leaf, animal, agricultural",2023-2026
T1_fine,53,189,1,"radiology, reports, report generation, report, medical",2023-2026
T1_fine,54,188,3,"vision, camouflaged, object detection, object, transformers",2023-2026
T1_fine,55,179,12,"neurosymbolic, symbolic, logic, logical, neurosymbolic ai",2023-2026
T1_fine,56,179,12,"planning, pddl, plans, plan, planning problems",2023-2026
T1_fine,57,175,12,"scientific, science, ai, research, discovery",2023-2026
T1_fine,58,174,14,"adversarial, attacks, attack, backdoor, defense",2023-2026
T1_fine,59,172,0,"domain, adaptation, domain adaptation, target, target domain",2023-2026
T1_fine,60,169,0,"hallucination, hallucinations, hallucination detection, detection, llms",2023-2026
T1_fine,61,169,5,"clustering, cluster, multiview, kmeans, clusters",2023-2026
T1_fine,62,168,0,"hate, hate speech, speech, speech detection, offensive",2023-2026
T1_fine,63,165,0,"summarization, summaries, summary, abstractive, text summarization",2023-2026
T1_fine,64,158,12,"code, code generation, programming, programming languages, generation",2023-2026
T1_fine,65,154,5,"quantization, quantized, lowbit, posttraining quantization, weight",2023-2026
T1_fine,66,152,3,"prompt, clip, zeroshot, prompt learning, visionlanguage",2023-2026
T1_fine,67,151,13,"avatar, avatars, garment, 3d, tryon",2023-2026
T1_fine,68,150,5,"graph, graphs, node, textattributed, graph neural",2023-2026
T1_fine,69,149,0,"flow, flow matching, diffusion, sampling, matching",2023-2026
T1_fine,70,142,0,"safety, harmful, safety alignment, unsafe, refusal",2023-2026
T1_fine,71,142,12,"icl, incontext, incontext learning, demonstrations, learning icl",2023-2026
T1_fine,72,142,5,"lora, lowrank, finetuning, peft, lowrank adaptation",2023-2026
T1_fine,73,141,12,"judges, evaluation, llm, evaluators, llmasajudge",2023-2026
T1_fine,74,139,0,"political, stance, stance detection, media, bias",2023-2026
T1_fine,75,138,3,"spatial, spatial reasoning, reasoning, geometric, vlms",2023-2026
T1_fine,76,137,1,"cancer, pathology, wsi, slide, mil",2023-2026
T1_fine,77,134,5,"tabular, tabular data, feature selection, trees, feature",2023-2026
T1_fine,78,131,12,"proof, theorem, theorem proving, proving, lean",2023-2026
T1_fine,79,129,3,"multimodal, modalities, mllms, alignment, modality",2023-2026
T1_fine,80,127,0,"kv, cache, kv cache, compression, keyvalue",2023-2026
T1_fine,81,126,0,"scientific, citation, literature, papers, scientific literature",2023-2026
T1_fine,82,119,5,"moe, experts, expert, mixtureofexperts, moe models",2023-2026
T1_fine,83,118,6,"time series, series, forecasting, time, series forecasting",2023-2026
T1_fine,84,118,2,"quantum, classical, quantum computing, quantum machine, computing",2023-2026
T1_fine,85,118,12,"claim, factchecking, claims, verification, claim verification",2023-2026
T1_fine,86,118,12,"games, game, chess, poker, search",2023-2026
T1_fine,87,113,12,"scheduling, drl, shop, job shop, job",2023-2026
T1_fine,88,112,14,"privacy, private, dp, sensitive, pii",2023-2026
T1_fine,89,112,12,"ontology, ontologies, knowledge, ontological, owl",2023-2026
T1_fine,90,110,0,"diffusion, diffusion language, decoding, parallel, autoregressive",2023-2026
T1_fine,91,110,7,"defect, defect detection, inspection, crack, defects",2023-2026
T1_fine,92,108,0,"hallucination, hallucinations, lvlms, visual, large visionlanguage",2023-2026
T1_fine,93,104,5,"quantization, quantized, mixedprecision, posttraining quantization, weights",2023-2026
T1_fine,94,104,3,"action, action recognition, recognition, video, temporal",2023-2026
T1_fine,95,103,12,"uncertainty, confidence, uncertainty quantification, calibration, quantification",2023-2026
T1_fine,96,102,5,"spiking, snns, spiking neural, neuromorphic, spike",2023-2026
T1_fine,97,101,3,"depth, depth estimation, monocular, monocular depth, estimation",2023-2026
T1_fine,98,101,0,"captioning, captions, image captioning, image, caption",2023-2026
T1_fine,99,100,12,"energy, reinforcement, reinforcement learning, management, rl",2023-2026
T1_fine,100,98,3,"sign, sign language, slt, language translation, translation",2023-2026
T1_fine,101,96,0,"motion, motion generation, motions, human motion, dance",2023-2026
T1_fine,102,96,4,"eeg, eeg signals, seizure, brain, bci",2023-2026
T1_fine,103,96,5,"pruning, compression, networks, pruned, pruning methods",2023-2026
T1_fine,104,95,3,"satellite, imagery, forest, remote sensing, land",2023-2026
T1_fine,105,95,1,"ecg, rppg, ppg, heart, physiological",2023-2026
T1_fine,106,95,3,"3d, editing, textto3d, score distillation, diffusion",2023-2026
T1_fine,107,95,0,"news, fake news, fake, news detection, disinformation",2023-2026
T1_fine,108,94,12,"grpo, policy optimization, policy, rlvr, rollout",2023-2026
T1_fine,109,93,12,"explanations, explanation, faithfulness, rationales, rationale",2023-2026
T1_fine,110,92,12,"editing, knowledge editing, knowledge, model editing, editing methods",2023-2026
T1_fine,111,91,3,"erasure, watermarking, watermark, diffusion, diffusion models",2023-2026
T1_fine,112,90,0,"table, tables, tabular, tabular data, table reasoning",2023-2026
T1_fine,113,89,14,"jailbreak, jailbreaking, harmful, attack, safety",2023-2026
T1_fine,114,89,0,"persuasion, persuasive, llms, biases, cognitive biases",2023-2026
T1_fine,115,88,0,"speculative, speculative decoding, draft, decoding, draft model",2023-2026
T1_fine,116,88,0,"longcontext, compression, context, long, long context",2023-2026
T1_fine,117,87,0,"moral, ethical, moral reasoning, dilemmas, moral foundations",2023-2026
T1_fine,118,87,12,"argumentation, semantics, arguments, logic, argument",2023-2026
T1_fine,119,87,0,"talking, facial, lip, audio, animation",2023-2026
T1_fine,120,86,12,"calibration, conformal, conformal prediction, uncertainty, prediction",2023-2026
T1_fine,121,86,0,"video, video generation, video compression, attention, diffusion",2023-2026
T1_fine,122,85,12,"rl, agents, agent, reinforcement, reinforcement learning",2023-2026
T1_fine,123,85,3,"underwater, underwater image, marine, fish, image enhancement",2023-2026
T1_fine,124,85,12,"discourse, argument, argumentative, argumentation, argument mining",2023-2026
T1_fine,125,83,12,"milp, search, heuristic, heuristics, instances",2023-2026
T1_fine,126,82,12,"causal, causal reasoning, causality, event, causal inference",2023-2026
T1_fine,127,81,12,"prompt, prompt optimization, prompts, optimization, prompt engineering",2023-2026
T1_fine,128,81,3,"face, face recognition, fr, facial, recognition",2023-2026
T1_fine,129,80,11,"circuit, rtl, design, circuits, analog",2023-2026
T1_fine,130,79,1,"glucose, patients, disease, heart, heart disease",2023-2026
T1_fine,131,79,3,"surgical, surgery, instrument, surgical video, phase recognition",2023-2026
T1_fine,132,78,3,"3d, scene, 3d scene, 2d, point",2023-2026
T1_fine,133,78,14,"federated, federated learning, privacy, fl, medical",2023-2026
T1_fine,134,78,4,"alzheimers, alzheimers disease, disease, ad, brain",2023-2026
T1_fine,135,77,7,"fault, fault diagnosis, maintenance, diagnosis, faults",2023-2026
T1_fine,136,77,3,"image compression, compression, image, autoregressive, tokenizer",2023-2026
T1_fine,137,77,7,"anomaly, anomaly detection, time series, series, anomalies",2023-2026
T1_fine,138,77,0,"video, motion, video generation, video editing, videos",2023-2026
T1_fine,139,76,12,"tsp, routing, vehicle routing, salesman, traveling",2023-2026
T1_fine,140,76,3,"segmentation, semantic segmentation, semantic, weakly supervised, wsss",2023-2026
T1_fine,141,76,3,"tracking, multiobject tracking, multiobject, crowd, counting",2023-2026
T1_fine,142,75,6,"energy, devices, iot, consumption, hardware",2023-2026
T1_fine,143,74,5,"graph, gnns, attack, attacks, graph neural",2023-2026
T1_fine,144,74,12,"asp, answer set, set programming, programming, answer",2023-2026
T1_fine,145,73,14,"safety, reasoning, sabotage, monitor, hacking",2023-2026
T1_fine,146,73,4,"memory, longterm, personalization, personalized, user",2023-2026
T1_fine,147,73,12,"creativity, creative, ai, generative ai, human creativity",2023-2026
T1_fine,148,73,3,"person, reid, reidentification, person reidentification, person retrieval",2023-2026
T1_fine,149,73,4,"memory, agents, longterm, agent memory, longterm memory",2023-2026
T1_fine,150,71,0,"audio, audiovisual, audio visual, video, audiovideo",2023-2026
T1_fine,151,71,3,"medical, clinical, reports, multimodal, medical image",2023-2026
T1_fine,152,71,0,"arabic, correction, gec, grammatical error, grammatical",2023-2026
T1_fine,153,69,3,"video, segmentation, tracking, video object, object",2023-2026
T1_fine,154,69,0,"transformers, transformer, length generalization, arithmetic, length",2023-2026
T1_fine,155,69,5,"temporal, temporal graph, graph, dynamic graph, dynamic",2023-2026
T1_fine,156,68,5,"bayesian optimization, bo, bayesian, optimization, optimization bo",2023-2026
T1_fine,157,67,5,"recommendation, recommendations, user, item, recommender",2023-2026
T1_fine,158,67,3,"registration, image registration, teeth, dental, tooth",2023-2026
T1_fine,159,67,3,"pose, pose estimation, 6d, estimation, object pose",2023-2026
T1_fine,160,67,12,"reward, reward models, reward model, rlhf, reward modeling",2023-2026
T1_fine,161,66,0,"personality, traits, personality traits, trait, mbti",2023-2026
T1_fine,162,66,5,"pac, multiclass, dimension, littlestone, pac learning",2023-2026
T1_fine,163,66,3,"openvocabulary, segmentation, object, object detection, semantic segmentation",2023-2026
T1_fine,164,65,14,"private, privacy, dp, differentially private, differentially",2023-2026
T1_fine,165,65,5,"saes, sparse autoencoders, autoencoders, sparse, sae",2023-2026
T1_fine,166,65,12,"mathematical, mathematical reasoning, math, reasoning, problems",2023-2026
T1_fine,167,65,14,"adversarial, attacks, attack, adversarial attacks, visionlanguage",2023-2026
T1_fine,168,65,0,"fake, news, misinformation, fake news, news detection",2023-2026
T1_fine,169,64,3,"visual tokens, token, tokens, pruning, visual",2023-2026
T1_fine,170,64,14,"safety, harmful, jailbreak, mllms, multimodal",2023-2026
T1_fine,171,64,5,"pruning, structured pruning, sparsity, pruning methods, structured",2023-2026
T1_fine,172,63,5,"label, longtailed, labels, classes, noisy",2023-2026
T1_fine,173,63,5,"active learning, active, al, learning, informative",2023-2026
T1_fine,174,62,0,"relation, relation extraction, extraction, entity, relations",2023-2026
T1_fine,175,62,3,"radar, 4d, 4d radar, radar data, radarcamera",2023-2026
T1_fine,176,62,12,"rlvr, verifiable, rewards, rl, reasoning",2023-2026
T1_fine,177,62,0,"review, peer, peer review, reviews, reviewers",2023-2026
T1_fine,178,62,0,"cultural, cultural alignment, culturally, bias, alignment",2023-2026
T1_fine,179,61,3,"lane, road, lane detection, driving, lanes",2023-2026
T1_fine,180,61,12,"sports, player, soccer, badminton, players",2023-2026
T1_fine,181,61,0,"dataset distillation, distillation, diffusion, diffusion models, dataset",2023-2026
T1_fine,182,60,0,"embedding, embeddings, sentence, sentence embeddings, sentence embedding",2023-2026
T1_fine,183,60,0,"sarcasm, humor, sarcasm detection, humour, sarcastic",2023-2026
T1_fine,184,60,3,"activity recognition, har, activity, human activity, recognition",2023-2026
T1_fine,185,59,3,"gaze, gaze estimation, eye, estimation, eyetracking",2023-2026
T1_fine,186,59,12,"deep research, search, texttosql, sql, deep search",2023-2026
T1_fine,187,58,4,"topological, simplicial, homology, complexes, tda",2023-2026
T1_fine,188,58,14,"privacy, membership, membership inference, attacks, inference attacks",2023-2026
T1_fine,189,57,5,"topic, topics, topic models, topic modeling, neural topic",2023-2026
T1_fine,190,57,12,"reasoning, length, thinking, lrms, reasoning models",2023-2026
T1_fine,191,56,12,"pomdps, pomdp, belief, partially observable, observable",2023-2026
T1_fine,192,55,12,"distillation, teacher, student, knowledge distillation, kd",2023-2026
T1_fine,193,55,0,"diffusion, diffusion models, image, image generation, latent",2023-2026
T1_fine,194,55,3,"chart, charts, chart understanding, visualization, visualizations",2023-2026
T1_fine,195,55,3,"gait, gait recognition, recognition, rehabilitation, walking",2023-2026
T1_fine,196,55,12,"sat, solvers, constraint, maxsat, satisfiability",2023-2026
T1_fine,197,55,8,"food, recipe, dietary, recipes, culinary",2023-2026
T1_fine,198,55,14,"unlearning, memorization, machine unlearning, unlearning methods, privacy",2023-2026
T1_fine,199,54,0,"grammatical, syntactic, babylm, children, language",2023-2026
T1_fine,200,54,0,"texttosql, sql, sql queries, queries, database",2023-2026
T1_fine,201,54,3,"hyperspectral, hsi, spectral, hyperspectral image, spatialspectral",2023-2026
T1_fine,202,53,3,"view, video, views, camera, view synthesis",2023-2026
T1_fine,203,53,12,"distillation, kd, student, teacher, knowledge distillation",2023-2026
T1_fine,204,53,0,"story, video generation, video, narrative, storytelling",2023-2026
T1_fine,205,53,14,"fl, federated, federated learning, attacks, poisoning",2023-2026
T1_fine,206,53,3,"remote sensing, remote, rs, sensing, sensing rs",2023-2026
T1_fine,207,52,3,"lowlight, shadow, enhancement, image enhancement, lowlight image",2023-2026
T1_fine,208,52,3,"spatial, geospatial, gis, spatial reasoning, geographic",2023-2026
T1_fine,209,52,3,"restoration, image restoration, degradation, image, allinone",2023-2026
T1_fine,210,51,3,"endoscopic, depth, surgical, depth estimation, colonoscopy",2023-2026
T1_fine,211,51,14,"privacy, federated, federated learning, fl, differential privacy",2023-2026
T1_fine,212,51,10,"ood, ood detection, outofdistribution, detection, id",2023-2026
T1_fine,213,50,0,"biases, bias, gender, t2i, texttoimage",2023-2026
T1_fine,214,50,7,"change, change detection, cd, remote sensing, remote",2023-2026
T1_fine,215,49,5,"token, mtp, multitoken, multitoken prediction, embeddings",2023-2026
T1_fine,216,49,6,"ai, edge, energy, environmental, consumption",2023-2026
T1_fine,217,48,12,"instruction, instructions, instruction tuning, instruction data, tuning",2023-2026
T1_fine,218,47,3,"uav, uavs, aerial, unmanned, unmanned aerial",2023-2026
T1_fine,219,46,5,"mtl, multitask, multitask learning, hpo, learning mtl",2023-2026
T1_fine,220,46,5,"equivariant, symmetries, symmetry, group, equivariance",2023-2026
T1_fine,221,46,3,"retinal, retinopathy, diabetic, fundus, diabetic retinopathy",2023-2026
T1_fine,222,46,5,"ssl, selfsupervised learning, selfsupervised, learning ssl, representations",2023-2026
T1_fine,223,45,12,"safety, agents, embodied, risks, risk",2023-2026
T1_fine,224,45,3,"face, antispoofing, face antispoofing, fas, attack detection",2023-2026
T1_fine,225,45,6,"electricity, forecasting, load, energy, price",2023-2026
T1_fine,226,45,12,"simulation, social, agentbased, agentbased modeling, agents",2023-2026
T1_fine,227,45,0,"entity, ner, entity recognition, named entity, named",2023-2026
T1_fine,228,44,12,"moral, values, ethical, human values, ethics",2023-2026
T1_fine,229,44,0,"categorical, anisotropy, subdimensions, representations, conceptual",2023-2026
T1_fine,230,43,0,"korean, parsing, dependency, syntactic, treebank",2023-2026
T1_fine,231,43,5,"tensor, nmf, pca, decomposition, factorization",2023-2026
T1_fine,232,42,5,"graph, gnn, gnns, graph neural, explanations",2023-2026
T1_fine,233,42,12,"supply, supply chain, optimization modeling, optimization, chain",2023-2026
T1_fine,234,42,12,"belief, revision, belief revision, theory, iterated",2023-2026
T1_fine,235,42,12,"graph, graph reasoning, reasoning, graphs, llms",2023-2026
T1_fine,236,42,3,"fingerprint, iris, biometric, iris recognition, finger",2023-2026
T1_fine,237,42,0,"music, lyrics, musical, music generation, song",2023-2026
T1_fine,238,42,3,"event, eventbased, cameras, motion, event cameras",2023-2026
T1_fine,239,41,4,"continual, forgetting, continual learning, catastrophic forgetting, catastrophic",2023-2026
T1_fine,240,40,6,"imputation, missing, time series, missing data, series",2023-2026
T1_fine,241,40,14,"privacy, synthetic data, synthetic, private, dp",2023-2026
T1_fine,242,40,10,"shapley, shapley values, shap, values, shapley value",2023-2026
T1_fine,243,40,2,"fuzzy, rough, topsis, rough set, sets",2023-2026
T1_fine,244,40,0,"disaster, emergency, crisis, disasters, events",2023-2026
T1_fine,245,40,1,"survival, survival analysis, cancer, survival models, patients",2023-2026
T1_fine,246,40,3,"dehazing, deblurring, image dehazing, haze, image",2023-2026
T1_fine,247,40,3,"cultural, multilingual, languages, cultural understanding, vlms",2023-2026
T1_fine,248,40,3,"intent, intent detection, intents, slu, intent classification",2023-2026
T1_fine,249,39,4,"fmri, brain, decoding, stimuli, visual",2023-2026
T1_fine,250,38,7,"process, process mining, mining, business, business process",2023-2026
T1_fine,251,37,3,"slam, odometry, mapping, visual odometry, vo",2023-2026
T1_fine,252,37,1,"ehr, ehr data, clinical, electronic health, health records",2023-2026
T1_fine,253,37,0,"gans, generative adversarial, gan, adversarial networks, networks gans",2023-2026
T1_fine,254,37,0,"event, extraction, eae, event extraction, events",2023-2026
T1_fine,255,36,3,"shape, 3d shape, shapes, 3d, deformation",2023-2026
T1_fine,256,36,3,"sar, sar images, synthetic aperture, aperture radar, aperture",2023-2026
T1_fine,257,36,7,"fraud, big data, financial, credit, big",2023-2026
T1_fine,258,36,7,"anomaly, anomaly detection, gad, graph anomaly, detection",2023-2026
T1_fine,259,35,12,"marl, multiagent reinforcement, multiagent, agents, cooperative",2023-2026
T1_fine,260,35,3,"mri, reconstruction, imaging, brain, magnetic",2023-2026
T1_fine,261,35,0,"memes, hateful, meme, hate, harmful",2023-2026
T1_fine,262,35,1,"clinical, explainability, xai, healthcare, medical",2023-2026
T1_fine,263,35,3,"watermarking, watermark, watermarks, watermarked, text",2023-2026
T1_fine,264,34,0,"morphological, tokenization, bpe, cognate, languages",2023-2026
T1_fine,265,34,3,"superresolution, sr, image superresolution, diffusion, image",2023-2026
T1_fine,266,34,0,"misinformation, media, social media, covid19, tweets",2023-2026
T1_fine,267,34,5,"backpropagation, forwardforward, forwardforward algorithm, networks, network",2023-2026
T1_fine,268,34,0,"texttoimage, diffusion, t2i, diffusion models, nsfw",2023-2026
T1_fine,269,34,5,"transport, ot, optimal transport, wasserstein, optimal",2023-2026
T1_fine,270,33,5,"tree, tree search, search, mcts, monte carlo",2023-2026
T1_fine,271,33,3,"object detection, object, detection, yolo, detectors",2023-2026
T1_fine,272,33,3,"masked, saliency, masking, mim, selfsupervised",2023-2026
T1_fine,273,33,14,"fl, devices, federated, edge, federated learning",2023-2026
T1_fine,274,33,12,"xai, explanation, explanations, explainable, ai",2023-2026
T1_fine,275,33,12,"patent, patents, innovation, promotional, claims",2023-2026
T1_fine,276,32,7,"fraud, transaction, fraud detection, laundering, transactions",2023-2026
T1_fine,277,32,0,"generative, generative models, model collapse, synthetic data, synthetic",2023-2026
T1_fine,278,32,14,"cybersecurity, vulnerability, security, ctf, vulnerability detection",2023-2026
T1_fine,279,31,3,"registration, cloud registration, point, correspondences, point cloud",2023-2026
T1_fine,280,31,3,"place recognition, vpr, place, visual place, recognition",2023-2026
T1_fine,281,31,3,"stereo, stereo matching, disparity, matching, depth",2023-2026
T1_fine,282,31,15,"electron, microscopy, electron microscopy, segmentation, characterization",2023-2026
T1_fine,283,31,0,"tokenization, vocabulary, tokenizer, tokenizers, bpe",2023-2026
T1_fine,284,31,12,"uncertainty, bayesian neural, bayesian, bnns, posterior",2023-2026
T1_fine,285,30,3,"damage, disaster, imagery, building, building damage",2023-2026
T1_fine,286,30,3,"quality assessment, iqa, image quality, quality, assessment",2023-2026
T1_fine,287,30,12,"combinatorial optimization, combinatorial, optimization problems, problems, optimization",2023-2026
T1_fine,288,30,3,"metalearning, maml, meta, gradientbased metalearning, gradient",2023-2026
T1_fine,289,30,0,"essay, essays, scoring, essay scoring, aes",2023-2026
T1_fine,290,30,1,"alignment, sft, preference, llm alignment, selfalignment",2023-2026
T1_fine,291,30,0,"narrative, story, stories, fiction, drama",2023-2026
T2_medium,0,758,3,"speech, asr, speech recognition, automatic speech, recognition",2020-2023
T2_medium,1,712,14,"adversarial, attacks, attack, adversarial examples, robustness",2020-2023
T2_medium,2,697,5,"graph, node, gnns, graphs, graph neural",2020-2023
T2_medium,3,592,5,"gradient, descent, sgd, gradient descent, networks",2020-2023
T2_medium,4,576,0,"translation, machine translation, neural machine, nmt, machine",2020-2023
T2_medium,5,481,1,"patients, covid19, health, patient, ecg",2020-2023
T2_medium,6,474,12,"scheduling, problem, routing, problems, combinatorial",2020-2023
T2_medium,7,454,0,"dialogue, dialog, taskoriented, response, dialogue systems",2020-2023
T2_medium,8,423,6,"time series, series, forecasting, time, power",2020-2023
T2_medium,9,410,1,"clinical, biomedical, medical, notes, clinical notes",2020-2023
T2_medium,10,402,4,"equations, differential equations, differential, pdes, physicsinformed",2020-2023
T2_medium,11,381,12,"ai, intelligence, artificial, artificial intelligence, trust",2020-2023
T2_medium,12,376,12,"causal, variables, causal inference, observational, causal discovery",2020-2023
T2_medium,13,370,7,"anomaly, anomaly detection, anomalies, detection, normal",2020-2023
T2_medium,14,355,5,"bandit, regret, bandits, arm, multiarmed",2020-2023
T2_medium,15,353,12,"policy, rl, offline, reinforcement learning, reinforcement",2020-2023
T2_medium,16,350,4,"continual, continual learning, forgetting, catastrophic forgetting, catastrophic",2020-2023
T2_medium,17,348,14,"federated, federated learning, fl, clients, client",2020-2023
T2_medium,18,338,3,"pose, body, pose estimation, 3d, human pose",2020-2023
T2_medium,19,324,12,"reinforcement learning, reinforcement, exploration, rl, reward",2020-2023
T2_medium,20,323,0,"hate, hate speech, offensive, speech, speech detection",2020-2023
T2_medium,21,302,12,"uncertainty, calibration, bayesian, flows, variational",2020-2023
T2_medium,22,297,14,"privacy, private, differentially private, differentially, differential privacy",2020-2023
T2_medium,23,288,3,"action, action recognition, video, temporal, recognition",2020-2023
T2_medium,24,281,0,"summarization, summaries, abstractive, summary, abstractive summarization",2020-2023
T2_medium,25,270,0,"fairness, fair, bias, groups, sensitive",2020-2023
T2_medium,26,265,0,"domain, domain adaptation, adaptation, source, target",2020-2023
T2_medium,27,263,0,"question, qa, answering, question answering, answer",2020-2023
T2_medium,28,258,0,"word, embeddings, sentence, similarity, word embeddings",2020-2023
T2_medium,29,257,3,"lidar, 3d, 3d object, object detection, point",2020-2023
T2_medium,30,249,12,"game, games, mcts, players, chess",2020-2023
T2_medium,31,246,5,"quantization, quantized, compression, binary, weights",2020-2023
T2_medium,32,242,1,"molecular, molecules, protein, drug, molecule",2020-2023
T2_medium,33,230,12,"prompt, fewshot, prompts, incontext, tuning",2020-2023
T2_medium,34,229,12,"logic, reasoning, symbolic, neurosymbolic, analogical",2020-2023
T2_medium,35,227,3,"trajectory, trajectory prediction, driving, prediction, pedestrian",2020-2023
T2_medium,36,225,3,"superresolution, deblurring, sr, image, denoising",2020-2023
T2_medium,37,224,3,"tracking, trackers, object tracking, mot, tracker",2020-2023
T2_medium,38,222,14,"adversarial, attack, attacks, backdoor, adversarial attacks",2020-2023
T2_medium,39,219,0,"style, style transfer, diffusion, texttoimage, image",2020-2023
T2_medium,40,216,12,"planning, symbolic, plans, plan, planners",2020-2023
T2_medium,41,202,12,"multiagent, agents, marl, multiagent reinforcement, cooperative",2020-2023
T2_medium,42,202,3,"radiance, nerf, rendering, 3d, view synthesis",2020-2023
T2_medium,43,199,0,"ner, entity recognition, named entity, entity, named",2020-2023
T2_medium,44,187,3,"point, point cloud, cloud, clouds, point clouds",2020-2023
T2_medium,45,184,3,"traffic, spatiotemporal, travel, mobility, prediction",2020-2023
T2_medium,46,173,0,"news, fake news, fake, news detection, media",2020-2023
T2_medium,47,171,12,"knowledge graph, knowledge, entities, graph, embedding",2020-2023
T2_medium,48,169,0,"relation, relation extraction, extraction, relations, entity",2020-2023
T2_medium,49,167,12,"navigation, embodied, agent, environment, vln",2020-2023
T2_medium,50,164,3,"face, face recognition, recognition, facial, faces",2020-2023
T2_medium,51,162,0,"generation, text generation, text, language generation, nlg",2020-2023
T2_medium,52,161,0,"gender, bias, biases, gender bias, debiasing",2020-2023
T2_medium,53,161,6,"hardware, devices, dnn, memory, energy",2020-2023
T2_medium,54,160,0,"transformer, attention, selfattention, transformers, sequence",2020-2023
T2_medium,55,157,3,"fewshot, fewshot learning, fsl, fewshot classification, classes",2020-2023
T2_medium,56,156,0,"crosslingual, languages, multilingual, crosslingual transfer, transfer",2020-2023
T2_medium,57,156,3,"reid, person, reidentification, person reidentification, reidentification reid",2020-2023
T2_medium,58,155,5,"active learning, active, al, learning, learning al",2020-2023
